    INFO: KinovaMain - Startup!
    INFO: Connection to RoboRio established.
    INFO: Connection to JacoArm established.
      DEBUG0: CommandHandling: Recieved Event 'E_Stop:0'
    INFO: StateMachine: Processing Event 'E_Stop'
    INFO: Exiting State PowerOff
    INFO: Entering State EStop
ERROR: KinovaArm::releaseControl(): 1, Could not stop API control! libusb error.
      DEBUG0: CommandHandling: Sent Event 'E_Stop:0'
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
  WARNING: KinovaArm::connect(): 1, Could not claim usb interface 0!
