    INFO: KinovaMain - Startup!
    INFO: Connection to RoboRio established.
    INFO: Connection to JacoArm established.
      DEBUG0: CommandHandling: Recieved Event 'Initialize:0'
    INFO: StateMachine: Processing Event 'Initialize'
    INFO: Exiting State PowerOff
    INFO: Entering State Initialize
    INFO: Gained API control over the arm.
      DEBUG2: PositionHandling::ReadFromFile: Objective 3 is Zero
      DEBUG2: PositionHandling::ReadFromFile: Objective 4 is Zero
    INFO: Points successfully loaded from File.
      DEBUG0: Transformation matrices calculated
      DEBUG0: CommandHandling: Sent Event 'Initialized:0'
      DEBUG0: CommandHandling: Recieved Event 'Initialized:0'
    INFO: StateMachine: Processing Event 'Initialized'
    INFO: Exiting State Initialize 
    INFO: Entering State Retracted
      DEBUG0: CommandHandling: Sent Event 'NoEvent:0'
      DEBUG0: CommandHandling: Recieved Event 'NoEvent:0'
      DEBUG0: CommandHandling: Recieved Event 'SetMode:1'
      DEBUG0: CommandHandling: Recieved Event 'Retract:0'
      DEBUG0: CommandHandling: Recieved Event 'Unfold:0'
    INFO: StateMachine: Processing Event 'Unfold'
    INFO: Exiting State Retracted 
    INFO: Entering State Unfolding
      DEBUG0: CommandHandling: Sent Event 'Unfold:0'
      DEBUG2: unfolding from Mode: 3
      DEBUG2: unfolding from Mode: 3
      DEBUG2: unfolding from Mode: 3
      DEBUG2: unfolding from Mode: 3
      DEBUG2: unfolding from Mode: 3
      DEBUG2: unfolding from Mode: 3
      DEBUG2: unfolding from Mode: 3
      DEBUG2: unfolding from Mode: 3
      DEBUG2: unfolding from Mode: 3
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
      DEBUG2: unfolding from Mode: 4
